INSTANCE,VCPU,RAM,PAY AS YOU GO,PAY AS YOU GO WITH AZURE HYBRID BENEFIT,ONE YEAR RESERVED,ONE YEAR RESERVED WITH AZURE HYBRID BENEFIT,THREE YEAR RESERVED,THREE YEAR RESERVED WITH AZURE HYBRID BENEFIT,SPOT,SPOT WITH AZURE HYBRID BENEFIT,ONE YEAR SAVINGS PLAN,ONE YEAR SAVINGS PLAN WITH AZURE HYBRID BENEFIT,THREE YEAR SAVINGS PLAN,THREE YEAR SAVINGS PLAN WITH AZURE HYBRID BENEFIT,ARCH,CONSTRAINED CPU,PREMIUM STORAGE
NC12,12,112,2.931,2.4335,N/A,N/A,N/A,N/A,0.2931,0.2434,2.5288,1.7825,2.0414,1.2951,Intel,12,false
NC24r,24,224,6.4488,5.3537,N/A,N/A,N/A,N/A,0.6449,0.5354,5.4142,3.9216,4.3418,2.8492,Intel,24,false
NC24,24,224,5.8621,4.867,N/A,N/A,N/A,N/A,0.5862,0.4867,5.0576,3.5651,4.0828,2.5902,Intel,24,false
NC6s v2,6,112,3.3704,2.7985,N/A,N/A,N/A,N/A,0.3401,0.2799,2.7026,2.3295,2.0996,1.7264,Intel,6,true
NC12s v2,12,224,6.7408,5.5971,N/A,N/A,N/A,N/A,0.6801,0.5597,5.4053,4.659,4.1991,3.4528,Intel,12,true
NC24rs v2,24,448,14.8322,12.3136,N/A,N/A,N/A,N/A,1.4966,1.2314,11.7424,10.2498,9.0888,7.5962,Intel,24,true
NC24s v2,24,448,13.4816,11.1941,N/A,N/A,N/A,N/A,1.3603,1.1194,10.8106,9.318,8.3982,6.9057,Intel,24,true
NC6s v3,6,112,4.5101,4.137,3.0084,2.6352,1.697,1.3238,1.1429,0.9217,3.4055,3.0324,2.5744,2.2013,Intel,6,true
NC12s v3,12,224,9.0202,8.2739,6.0167,5.2704,3.3939,2.6477,2.2857,1.8434,6.8111,6.0648,5.1488,4.4026,Intel,12,true
NC24rs v3,24,448,19.6844,18.1972,13.0877,11.5951,7.3541,5.8615,4.988,4.0543,14.8311,13.3386,11.1753,9.6828,Intel,24,true
NC24s v3,24,448,18.0404,16.5479,12.0336,10.541,6.7879,5.2953,4.5714,3.6869,13.6221,12.1296,10.2977,8.8051,Intel,24,true
NC4as T4 v3,4,28,0.9599,0.7111,0.6668,0.4181,0.5162,0.2674,0.096,0.0711,0.7296,0.4809,0.5833,0.3345,AMD,4,true
NC8as T4 v3,8,56,1.5142,1.0167,1.0952,0.5977,0.8798,0.3823,0.1514,0.1017,1.185,0.6875,0.9758,0.4782,AMD,8,true
NC16as T4 v3,16,110,2.6228,1.6277,1.9522,0.9572,1.6071,0.612,0.2623,0.1628,2.0957,1.1007,1.7607,0.7657,AMD,16,true
NC64as T4 v3,64,440,9.8638,5.8837,7.4398,3.4597,6.1924,2.2122,0.9864,0.5884,7.9587,3.9785,6.7478,2.7677,AMD,64,true
NC24ads A100 v4,24,220,6.4583,4.9657,4.7386,3.2461,3.3353,1.8428,0.846,0.4966,5.626,4.1335,4.5559,3.0633,AMD,24,true
NC48ads A100 v4,48,440,12.9165,9.9314,9.4772,6.4921,6.6707,3.6856,1.6921,0.9931,11.252,8.2669,9.1118,6.1267,AMD,48,true
NC96ads A100 v4,96,880,25.8331,19.8628,18.9545,12.9843,13.3413,7.3711,3.3841,1.9863,22.504,16.5338,18.2236,12.2534,AMD,96,true
NV6,6,56,1.9468,1.5412,N/A,N/A,N/A,N/A,0.1947,0.1541,1.6561,1.2829,1.3239,0.9508,Intel,6,false
NV12,12,112,3.8936,3.0824,N/A,N/A,N/A,N/A,0.3894,0.3082,3.3121,2.5658,2.6478,1.9016,Intel,12,false
NV24,24,224,7.7886,6.1649,N/A,N/A,N/A,N/A,0.7789,0.6165,6.6242,5.1317,5.2957,3.8031,Intel,24,false
NV12s v3,12,112,2.2875,1.5412,1.728,0.9817,1.4244,0.6781,0.2287,0.1541,1.8754,1.1291,1.5659,0.8196,Intel,12,true
NV24s v3,24,224,4.575,3.0824,3.4561,1.9636,2.8488,1.3563,0.4575,0.3082,3.7508,2.2582,3.1318,1.6392,Intel,24,true
NV48s v3,48,448,9.15,6.1649,6.9121,3.927,5.6976,2.7125,0.915,0.6165,7.5015,4.5164,6.2636,3.2785,Intel,48,true
NV4as v4,4,14,0.5638,0.315,0.4503,0.2016,0.3873,0.1386,0.0564,0.0315,0.511,0.2622,0.4431,0.1943,AMD,4,true
NV8as v4,8,28,1.1275,0.63,0.9008,0.4033,0.7747,0.2772,0.1128,0.063,1.0219,0.5244,0.8862,0.3887,AMD,8,true
NV16as v4,16,56,2.2551,1.26,1.8014,0.8064,1.5494,0.5544,0.2255,0.126,2.0439,1.0488,1.7723,0.7773,AMD,16,true
NV32as v4,32,112,4.5101,2.52,3.6028,1.6128,3.0989,1.1088,0.451,0.252,4.0877,2.0977,3.5447,1.5546,AMD,32,true
NV6adsv5,6,55,0.9869,0.6138,0.7659,0.3928,0.6432,0.2701,0.2467,0.1534,0.8841,0.5109,0.7518,0.3786,AMD,6,true
NV12ads A10 v5,12,110,1.9738,1.2276,1.532,0.7857,1.2864,0.5401,0.4935,0.3069,1.7681,1.0218,1.5036,0.7573,AMD,12,true
NV18ads A10 v5,18,220,3.2825,2.1631,2.5038,1.3844,2.0712,0.9518,0.8206,0.5408,2.92,1.8006,2.4538,1.3344,AMD,18,true
NV36ads A10 v5,36,440,6.5651,4.3262,5.0076,2.7687,4.1424,1.9035,1.6413,1.0816,5.84,3.6012,4.9077,2.6689,AMD,36,true
NV36adms A10 v5,36,880,8.3496,6.1108,6.1498,3.9109,4.9276,2.6888,2.0874,1.5277,7.3255,5.0866,6.0086,3.7698,AMD,36,true
NV72ads A10 v5,72,880,13.2924,8.8147,10.1191,5.6415,8.3561,3.8785,3.3231,2.2037,11.815,7.3374,9.9155,5.4378,AMD,72,true
ND6s,6,112,3.3704,2.7985,2.1558,1.7827,1.6154,1.2423,0.337,0.2799,2.7026,2.3295,2.0996,1.7264,Intel,6,true
ND12s,12,224,6.7408,5.5971,4.3115,3.5652,3.2308,2.4845,0.6741,0.5597,5.4053,4.659,4.1991,3.4528,Intel,12,true
ND24rs,24,448,14.8322,12.3136,9.3359,7.8433,6.9584,5.4659,1.4832,1.2314,11.7424,10.2498,9.0888,7.5962,Intel,24,true
ND24s,24,448,13.4816,11.1941,8.623,7.1305,6.4616,4.969,1.3482,1.1194,10.8106,9.318,8.3982,6.9057,Intel,24,true
ND40rs v2,40,672,32.2738,29.7862,17.0828,14.5952,N/A,N/A,3.9309,3.628,27.2816,24.794,20.8627,18.3751,Intel,40,true
ND96asr A100 v4,96,900,42.7392,36.769,31.4251,25.4549,20.6777,14.7075,12.873,11.0748,36.551,30.5808,24.3915,18.4213,AMD,96,true
ND96amsr A100 v4,96,1900,50.2736,44.3034,34.3244,28.3542,25.4637,19.4935,6.9528,4.9443,44.1553,38.1851,28.9681,22.9979,AMD,96,true
H8,8,56,2.3713,1.2222,N/A,N/A,N/A,N/A,0.34,0.1222,1.5148,1.0173,1.2515,0.754,Intel,8,false
H8m,8,112,3.1771,1.6372,N/A,N/A,N/A,N/A,0.4556,0.1637,1.8603,1.3628,1.5075,1.01,Intel,8,false
H16r,16,112,5.2158,2.6877,N/A,N/A,N/A,N/A,0.7479,0.2688,3.2323,2.2372,2.6531,1.658,Intel,16,false
H16,16,112,4.7426,2.443,N/A,N/A,N/A,N/A,0.6801,0.2443,3.0286,2.0335,2.5021,1.5071,Intel,16,false
H16mr,16,224,6.9882,3.6016,N/A,N/A,N/A,N/A,1.0021,0.3602,3.993,2.998,3.2169,2.2218,Intel,16,false
H16m,16,224,6.3528,3.2744,N/A,N/A,N/A,N/A,0.911,0.3274,3.7207,2.7256,3.015,2.02,Intel,16,false
HB60rs,60,228,6.8138,3.0824,6.3515,2.6201,5.8891,2.1577,0.6841,0.3082,6.4008,2.6694,6.1052,2.3738,Intel,60,true
HB60-15rs,60,228,6.8138,3.0824,6.3515,2.6201,5.8891,2.1577,0.6841,0.3082,6.4008,2.6694,6.1052,2.3738,Intel,15,true
HB60-30rs,60,228,6.8138,3.0824,6.3515,2.6201,5.8891,2.1577,0.6841,0.3082,6.4008,2.6694,6.1052,2.3738,Intel,30,true
HB60-45rs,60,228,6.8138,3.0824,6.3515,2.6201,5.8891,2.1577,0.6841,0.3082,6.4008,2.6694,6.1052,2.3738,Intel,45,true
HB120rs v2,120,456,12.3298,4.867,11.113,3.6503,9.8963,2.4335,1.233,0.4867,11.5141,4.0513,10.4652,3.0025,Intel,120,true
HB120-16rs v2,120,456,12.3298,4.867,11.113,3.6503,9.8963,2.4335,1.233,0.4867,11.5141,4.0513,10.4652,3.0025,Intel,16,true
