INSTANCE,VCPU,RAM,PAY AS YOU GO,PAY AS YOU GO WITH AZURE HYBRID BENEFIT,ONE YEAR RESERVED,ONE YEAR RESERVED WITH AZURE HYBRID BENEFIT,THREE YEAR RESERVED,THREE YEAR RESERVED WITH AZURE HYBRID BENEFIT,SPOT,SPOT WITH AZURE HYBRID BENEFIT,ONE YEAR SAVINGS PLAN,ONE YEAR SAVINGS PLAN WITH AZURE HYBRID BENEFIT,THREE YEAR SAVINGS PLAN,THREE YEAR SAVINGS PLAN WITH AZURE HYBRID BENEFIT,ARCH,CONSTRAINED CPU,PREMIUM STORAGE
D48a v4,48,192,4.512,2.304,3.5628,1.3548,3.0743,0.8663,0.4512,0.2304,3.7879,1.5799,3.2683,1.0603,AMD,48,false
D64a v4,64,256,6.016,3.072,4.7504,1.8064,4.0991,1.1551,0.6016,0.3072,5.0505,2.1065,4.3577,1.4137,AMD,64,false
D96a v4,96,384,9.024,4.608,7.1255,2.7095,6.1486,1.7326,0.9024,0.4608,7.5757,3.1597,6.5366,2.1206,AMD,96,false
D2as v4,2,8,0.188,0.096,0.1484,0.0564,0.1281,0.0361,0.0188,0.0096,0.1578,0.0658,0.1362,0.0442,AMD,2,true
D4as v4,4,16,0.376,0.192,0.2969,0.1129,0.2562,0.0722,0.0376,0.0192,0.3157,0.1317,0.2724,0.0884,AMD,4,true
D8as v4,8,32,0.752,0.384,0.5938,0.2258,0.5124,0.1444,0.0752,0.0384,0.6313,0.2633,0.5447,0.1767,AMD,8,true
D16as v4,16,64,1.504,0.768,1.1876,0.4516,1.0248,0.2888,0.1504,0.0768,1.2626,0.5266,1.0894,0.3534,AMD,16,true
D32as v4,32,128,3.008,1.536,2.3752,0.9032,2.0496,0.5776,0.3008,0.1536,2.5252,1.0532,2.1789,0.7069,AMD,32,true
D48as v4,48,192,4.512,2.304,3.5628,1.3548,3.0743,0.8663,0.4512,0.2304,3.7879,1.5799,3.2683,1.0603,AMD,48,true
D64as v4,64,256,6.016,3.072,4.7504,1.8064,4.0991,1.1551,0.6016,0.3072,5.0505,2.1065,4.3577,1.4137,AMD,64,true
D96as v4,96,384,9.024,4.608,7.1255,2.7095,6.1486,1.7326,0.9024,0.4608,7.5757,3.1597,6.5366,2.1206,AMD,96,true
